Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/13/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,"57,489",0.97,"3,701",0,472,"4,173",
05/13/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,"57,962",0.97,"3,698",0,502,"4,201",
05/13/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,"57,300",0.97,"3,725",0,527,"4,252",
05/13/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,2,"57,294",0.98,"3,588",0,548,"4,138",
05/13/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,7,"57,602",1,"3,692",5,623,"4,317",
05/13/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,30,"57,325",0.99,"3,790",16,606,"4,409",
05/13/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,51,"55,776",0.97,"3,773",26,595,"4,392",
05/13/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,509,"55,878",0.98,"4,280",232,516,"5,067",
05/13/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,"2,817","58,926",1.05,"5,776","1,278",419,"7,686",
05/13/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,"8,601","66,598",1.19,"9,115","4,116",444,"13,825",
05/13/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,"13,783","71,784",1.29,"10,832","6,120",447,"18,613",
05/13/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,"13,446","66,767",1.23,"9,642","5,788",244,"17,366",
05/13/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,"9,775","56,914",1.06,"7,303","4,150",123,"12,967",
05/13/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,"4,657","40,582",0.75,"4,010","1,924",39,"6,767",
05/13/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,"1,182","17,410",0.33,"1,341",492,5,"2,036",
05/13/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,"1,017",0.93,55,0,14,69,
05/13/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,"1,105",1,61,0,10,71,
05/13/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,"1,077",0.99,75,0,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,"1,073",0.99,67,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,"1,141",1.1,62,0,14,76,
05/13/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,"1,028",0.98,57,0,13,70,
05/13/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,"1,046",0.97,57,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,"1,027",1,72,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,15,"1,017",1,67,,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,42,"1,089",1.06,64,,,99,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,68,"1,052",1.03,80,23,,128,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,70,977,0.99,82,21,0,131,
05/13/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,37,834,0.83,57,11,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,25,637,0.64,46,,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,,210,0.21,13,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,83,0.93,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
05/13/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,82,1.01,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,78,0.93,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,77,0.9,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,86,1.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,63,0.79,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,76,0.89,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,90,1.04,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,68,0.79,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,60,0.77,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,34,0.43,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,35,0.39,0,0,0,0,
05/13/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,0,,0.05,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,"1,262",0.99,74,0,13,87,
05/13/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,"1,258",1.01,79,0,10,89,
05/13/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,"1,308",1.1,91,0,13,104,
05/13/2020,02/22/2020,02/22/2020,By week,Arizona,Week-ending,0,"1,334",1.11,78,0,11,89,
05/13/2020,02/29/2020,02/29/2020,By week,Arizona,Week-ending,0,"1,345",1.09,80,0,15,95,
05/13/2020,03/07/2020,03/07/2020,By week,Arizona,Week-ending,0,"1,376",1.11,73,0,14,87,
05/13/2020,03/14/2020,03/14/2020,By week,Arizona,Week-ending,0,"1,338",1.09,82,0,11,93,
05/13/2020,03/21/2020,03/21/2020,By week,Arizona,Week-ending,,"1,275",1.06,100,,,108,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Arizona,Week-ending,25,"1,311",1.1,116,15,,131,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Arizona,Week-ending,54,"1,335",1.09,120,29,,149,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Arizona,Week-ending,80,"1,372",1.13,143,46,,181,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Arizona,Week-ending,86,"1,270",1.1,109,37,,159,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Arizona,Week-ending,89,"1,296",1.11,104,34,0,159,
05/13/2020,05/02/2020,05/02/2020,By week,Arizona,Week-ending,52,"1,073",0.92,76,22,0,106,
05/13/2020,05/09/2020,05/09/2020,By week,Arizona,Week-ending,,495,0.43,26,,0,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Arkansas,Week-ending,0,677,1.04,55,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Arkansas,Week-ending,0,667,1.02,46,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Arkansas,Week-ending,0,686,1.02,38,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Arkansas,Week-ending,0,690,1.01,49,0,12,61,
05/13/2020,02/29/2020,02/29/2020,By week,Arkansas,Week-ending,0,652,1.02,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Arkansas,Week-ending,0,693,1.05,42,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Arkansas,Week-ending,0,621,0.97,37,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Arkansas,Week-ending,0,629,1,53,0,11,64,
05/13/2020,03/28/2020,03/28/2020,By week,Arkansas,Week-ending,,625,0.99,40,0,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Arkansas,Week-ending,,599,0.98,50,,0,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Arkansas,Week-ending,12,610,0.96,52,,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Arkansas,Week-ending,10,615,1.05,48,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Arkansas,Week-ending,12,557,0.94,38,,0,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Arkansas,Week-ending,,465,0.77,33,,0,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Arkansas,Week-ending,,289,0.48,16,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,California,Week-ending,0,"5,669",0.98,422,0,59,481,
05/13/2020,02/08/2020,02/08/2020,By week,California,Week-ending,,"5,888",1.05,441,0,67,509,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,California,Week-ending,0,"5,566",0.99,421,0,76,497,
05/13/2020,02/22/2020,02/22/2020,By week,California,Week-ending,,"5,780",1.03,454,0,71,526,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,California,Week-ending,0,"5,650",0.99,426,0,70,496,
05/13/2020,03/07/2020,03/07/2020,By week,California,Week-ending,,"5,693",1,471,0,55,528,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,California,Week-ending,,"5,417",0.98,418,,54,476,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,California,Week-ending,40,"5,619",1.04,466,18,42,530,
05/13/2020,03/28/2020,03/28/2020,By week,California,Week-ending,122,"5,618",1.05,564,67,27,646,
05/13/2020,04/04/2020,04/04/2020,By week,California,Week-ending,280,"5,875",1.11,611,153,24,762,
05/13/2020,04/11/2020,04/11/2020,By week,California,Week-ending,355,"5,853",1.14,617,205,,771,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,California,Week-ending,461,"5,810",1.14,678,287,,859,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,California,Week-ending,324,"5,093",0.99,518,191,,652,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,California,Week-ending,149,"3,740",0.74,313,88,0,374,
05/13/2020,05/09/2020,05/09/2020,By week,California,Week-ending,31,"1,570",0.32,109,22,0,118,
05/13/2020,02/01/2020,02/01/2020,By week,Colorado,Week-ending,0,788,0.98,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Colorado,Week-ending,0,843,1.04,51,0,11,62,
05/13/2020,02/15/2020,02/15/2020,By week,Colorado,Week-ending,0,803,0.97,50,0,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Colorado,Week-ending,0,879,1.09,45,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Colorado,Week-ending,0,842,1.08,56,0,16,72,
05/13/2020,03/07/2020,03/07/2020,By week,Colorado,Week-ending,0,817,1,51,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Colorado,Week-ending,,811,1.01,37,0,10,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
